Tienda,ID,Producto,Precio,imgUrl
La Comer,36,Jamon virginia mixto   fud,125.97,https://www.lacomer.com.mx/superc/img_art/2620854000001_3.jpg
La Comer,37,Jamon horneado fud,104.00,https://www.lacomer.com.mx/superc/img_art/7501040001130_3.jpg
La Comer,38,Jamon serrano espanol   redondo iglesias   redondo iglesias,72.00,https://www.lacomer.com.mx/superc/img_art/8427919000006_3.jpg
La Comer,39,Pate de jamon serrano frasco novelda,38.00,https://www.lacomer.com.mx/superc/img_art/8411055002451_3.jpg
La Comer,40,Jamon a las finas hierbas   penaranda,304.00,https://www.lacomer.com.mx/superc/img_art/7502221580147_3.jpg
La Comer,41,Jamon de pierna virginia   fud,52.00,https://www.lacomer.com.mx/superc/img_art/7501040001918_3.jpg
La Comer,42,Jamon virginia mixto   kir,104.90,https://www.lacomer.com.mx/superc/img_art/2624931000007_3.jpg
La Comer,43,Jamon serrano   casademont,60.00,https://www.lacomer.com.mx/superc/img_art/8411034156397_3.jpg
La Comer,44,Pechuga rellena de queso / jamon    ,82.90,https://www.lacomer.com.mx/superc/img_art/2611861000009_3.jpg
La Comer,45,Jamon iberico con hueso   5j,2258.00,https://www.lacomer.com.mx/superc/img_art/8410468010114_3.jpg
La Comer,46,Jamon horneado kir,97.90,https://www.lacomer.com.mx/superc/img_art/7501147515592_3.jpg
La Comer,47,Jamon york penaranda,288.00,https://www.lacomer.com.mx/superc/img_art/7503001475332_3.jpg
La Comer,48,Jamon virginia bafar,106.00,https://www.lacomer.com.mx/superc/img_art/7501518460421_3.jpg
La Comer,49,Jamon de pierna horneado sin sal   penaranda,300.00,https://www.lacomer.com.mx/superc/img_art/7503001475813_3.jpg
La Comer,50,Jamon serrano reserva   torre vieja,521.00,https://www.lacomer.com.mx/superc/img_art/74570683_3.jpg
La Comer,51,Jamon pavo san rafael,208.00,https://www.lacomer.com.mx/superc/img_art/75013837_3.jpg
La Comer,52,Jamon serrano premium   parma,91.00,https://www.lacomer.com.mx/superc/img_art/7501518491364_3.jpg
La Comer,53,Empanadas jamon y queso est. argentino   confetti,65.00,https://www.lacomer.com.mx/superc/img_art/7503007077295_3.jpg
La Comer,54,Jamon curado de regalo   espaa e hijos,665.00,https://www.lacomer.com.mx/superc/img_art/8428204007434_3.jpg
La Comer,55,Baguette jamon de pierna    ,34.50,https://www.lacomer.com.mx/superc/img_art/2655765000000_3.jpg
La Comer,56,Jamon del diablo lata herdez,44.70,https://www.lacomer.com.mx/superc/img_art/7501003130228_3.jpg
La Comer,57,Jamon serrano prosciuto mastro,493.00,https://www.lacomer.com.mx/superc/img_art/3662472_3.jpg
La Comer,58,Jamon virginia bafar paq. 200gr   bafar,33.00,https://www.lacomer.com.mx/superc/img_art/7501518463156_3.jpg
La Comer,59,Bernina jamon estilo holandes 300 gr holandes bernina,80.04,https://www.lacomer.com.mx/superc/img_art/7501703730421_3.jpg
La Comer,60,Jamon americano fud,101.57,https://www.lacomer.com.mx/superc/img_art/7501040001086_3.jpg
La Comer,61,Jamon iberico con hueso   5j,2258.00,https://www.lacomer.com.mx/superc/img_art/2623899000005_3.jpg
La Comer,62,Jamon york penaranda,288.00,https://www.lacomer.com.mx/superc/img_art/2621523000001_3.jpg
La Comer,63,Jamon del diablo de pavo lata herdez,43.80,https://www.lacomer.com.mx/superc/img_art/7501003130259_3.jpg
La Comer,64,Fud jamon horneado de pierna de pierna fud,94.00,https://www.lacomer.com.mx/superc/img_art/7501040002908_3.jpg
La Comer,65,Sandwich jamon de pierna    ,28.00,https://www.lacomer.com.mx/superc/img_art/2655748000003_3.jpg
La Comer,66,Baguette jamon serrano    ,36.00,https://www.lacomer.com.mx/superc/img_art/2655766000009_3.jpg
La Comer,67,Gourmet papas fritas jamon serrano   sabritas,38.00,https://www.lacomer.com.mx/superc/img_art/7501011131309_3.jpg
La Comer,68,Jamon spam lite   hormel,66.00,https://www.lacomer.com.mx/superc/img_art/37600400701_3.jpg
La Comer,69,Jamon de pato fileteado   martiko,234.66,https://www.lacomer.com.mx/superc/img_art/8412540006084_3.jpg
La Comer,70,Jamon americano   kir,18.90,https://www.lacomer.com.mx/superc/img_art/7501147513291_3.jpg
La Comer,71,Jamon serrano   7 hermanos,73.33,https://www.lacomer.com.mx/superc/img_art/8421195216571_3.jpg
La Comer,72,Papilla jamon con verduras et.3 gerber,13.65,https://www.lacomer.com.mx/superc/img_art/7501000906260_3.jpg
La Comer,73,Campestre parma jamon virginia de pavo virginia de pavo campestre,29.00,https://www.lacomer.com.mx/superc/img_art/7501518493597_3.jpg
La Comer,74,Jamon serrano espanol pza   tangamanga,86.00,https://www.lacomer.com.mx/superc/img_art/7501040051968_3.jpg
La Comer,75,Jamon cocido de pavo a granel   duby,59.90,https://www.lacomer.com.mx/superc/img_art/7501147529124_3.jpg
La Comer,76,Jamon serrano baby      venancio y pilar   venancio y pilar,642.70,https://www.lacomer.com.mx/superc/img_art/2624115000007_3.jpg
La Comer,77,Jamon york obertal,248.10,https://www.lacomer.com.mx/superc/img_art/2621437000005_3.jpg
La Comer,78,Jamon serrano baby      venancio y pilar   venancio y pilar,642.70,https://www.lacomer.com.mx/superc/img_art/71776156_3.jpg
La Comer,79,Jamon real de pavo   san rafael,56.00,https://www.lacomer.com.mx/superc/img_art/7501040000300_3.jpg
La Comer,80,Sabori jamon virginia de pavo virginia de pavo sabori,30.00,https://www.lacomer.com.mx/superc/img_art/7501518492521_3.jpg
La Comer,81,Jamon pavo tangamanga,234.62,https://www.lacomer.com.mx/superc/img_art/7501576201509_3.jpg
La Comer,82,Jamon virginia mixto   kir,104.90,https://www.lacomer.com.mx/superc/img_art/7501147519279_3.jpg
La Comer,83,Jamon virginia pollo pq   kir,28.55,https://www.lacomer.com.mx/superc/img_art/7501147511587_3.jpg
La Comer,84,Jamon virginia de pavo   kir,26.90,https://www.lacomer.com.mx/superc/img_art/7501147535194_3.jpg
La Comer,85,Jamon regular lata spam,63.90,https://www.lacomer.com.mx/superc/img_art/37600189095_3.jpg
La Comer,86,Jamon virginia fud,47.50,https://www.lacomer.com.mx/superc/img_art/7501040004742_3.jpg
La Comer,87,Pizza de jamon pza   fud,28.78,https://www.lacomer.com.mx/superc/img_art/7501040044526_3.jpg
La Comer,88,Jamon endiablado lata spam,22.80,https://www.lacomer.com.mx/superc/img_art/37600211017_3.jpg
La Comer,89,Jamon cocido de pavo a granel   duby,59.90,https://www.lacomer.com.mx/superc/img_art/2624599000005_3.jpg
La Comer,90,Jamon extrafino   bonnacarne,99.90,https://www.lacomer.com.mx/superc/img_art/7502229995127_3.jpg
La Comer,91,Jamon ahumado zwancito zwan,16.15,https://www.lacomer.com.mx/superc/img_art/7501057730238_3.jpg
La Comer,92,Jamon aleman    obertal,290.70,https://www.lacomer.com.mx/superc/img_art/2624318000002_3.jpg
La Comer,93,Jamon serrano serrano conde de luna ,62.90,https://www.lacomer.com.mx/superc/img_art/7503007945204_3.jpg
La Comer,94,Crepa rellena de jamon queso la crepe de la crep  ,99.90,https://www.lacomer.com.mx/superc/img_art/8437014896107_3.jpg
La Comer,95,Jamon de pierna campestre . campestre,157.90,https://www.lacomer.com.mx/superc/img_art/2622250000005_3.jpg
La Comer,96,Jamon de pierna campestre . campestre,157.90,https://www.lacomer.com.mx/superc/img_art/7501518493108_3.jpg
La Comer,97,Jamon mini york   bonnacarne,99.90,https://www.lacomer.com.mx/superc/img_art/7502229995066_3.jpg
La Comer,98,Jamon barcelona iberomex,92.24,https://www.lacomer.com.mx/superc/img_art/7501040001413_3.jpg
La Comer,99,Jamon real de san rafael 300gr.   san rafael,53.40,https://www.lacomer.com.mx/superc/img_art/7501040004896_3.jpg
La Comer,100,Jamon barcelona iberomex,92.24,https://www.lacomer.com.mx/superc/img_art/2620958000006_3.jpg
La Comer,101,Jamon holandes bernina,289.50,https://www.lacomer.com.mx/superc/img_art/2620192000008_3.jpg
La Comer,102,Jamon extrafino sabori . sabori,167.00,https://www.lacomer.com.mx/superc/img_art/2622450000003_3.jpg
La Comer,103,Jamon holandes bernina,289.50,https://www.lacomer.com.mx/superc/img_art/7501703700424_3.jpg
La Comer,104,Jamon de pierna balance san rafael,51.74,https://www.lacomer.com.mx/superc/img_art/7501040003233_3.jpg
La Comer,105,Jamon americano bernina,292.56,https://www.lacomer.com.mx/superc/img_art/7501703700417_3.jpg
La Comer,106,Venancio y pilar jamon serrano serrano venancio y pilar,686.67,https://www.lacomer.com.mx/superc/img_art/8421195063816_3.jpg
